DPUS,TASKS,CYCLES,TIME,ALGORITHM
64,2,1019408222.0,2.925000000000007,mt32
64,2,91493608.5,0.2608750000000002,sc32
64,2,333544761.0,0.9537499999999995,lm32
64,4,358203464.625,1.0225000000000022,xs32
64,4,1019639859.75,2.9249999999999914,mt32
64,4,88305145.625,0.25249999999999967,sc32
64,4,307188726.0,0.8781250000000038,lm32
64,8,358097246.3125,1.0224999999999922,xs32
64,8,1019332706.0,2.9000000000000172,mt32
64,8,86241290.5,0.2463125000000013,sc32
64,8,292101993.125,0.834062500000003,lm32
64,16,520880586.4375,1.4874999999999725,xs32
64,16,408958070.90625,1.1675000000000133,mt32
64,16,612293813.75,1.7485937499999589,sc32
64,16,216323015.53125,0.6184375000000106,lm32
128,1,357827457.25,1.0224999999999975,xs32
128,1,1018561401.75,2.8999999999999955,mt32
128,1,97428621.5,0.27750000000000025,sc32
128,1,384437709.25,1.0974999999999975,lm32
128,2,357848521.5,1.0225000000000022,xs32
128,2,1018626946.375,2.8999999999999866,mt32
128,2,90616902.625,0.2583750000000003,sc32
128,2,329987420.75,0.9437499999999961,lm32
128,4,357806303.25,1.0224999999999922,xs32
128,4,1018504577.375,2.9000000000000172,mt32
128,4,87041902.0625,0.24843749999999967,sc32
128,4,302061927.8125,0.8631250000000088,lm32
128,8,357825598.625,1.0225000000000142,xs32
128,8,1018560573.0,2.900000000000054,mt32
128,8,85384180.375,0.24381250000000293,sc32
128,8,288628166.125,0.8240624999999941,lm32
128,16,520455428.640625,1.487500000000038,xs32
128,16,407748930.34375,1.1649999999999734,mt32
128,16,610950375.265625,1.7460937499999492,sc32
128,16,210877875.0,0.6034277343750175,lm32
256,1,357670861.75,1.0225000000000022,xs32
256,1,1018119841.75,2.8999999999999866,mt32
256,1,96930693.25,0.2775000000000018,sc32
256,1,382404949.75,1.0924999999999987,lm32
256,2,357673627.0625,1.0224999999999922,xs32
256,2,1018127764.5,2.9000000000000172,mt32
256,2,90060791.125,0.2576250000000024,sc32
256,2,327718647.5625,0.9362499999999878,lm32
256,4,357662448.6875,1.0225000000000142,xs32
256,4,1018095889.96875,2.900000000000054,mt32
256,4,86586549.71875,0.24750000000000422,sc32
256,4,300215623.5625,0.858124999999981,lm32
256,8,357672450.578125,1.0225000000000253,xs32
256,8,1018124023.71875,2.8999999999999315,mt32
256,8,84899144.546875,0.2427187500000027,sc32
256,8,286662564.75,0.819062499999977,lm32
256,16,520245426.8984375,1.48750000000011,xs32
256,16,407149924.390625,1.1624999999999956,mt32
256,16,610285625.2578125,1.743593749999849,sc32
256,16,208199674.796875,0.5959179687500124,lm32
512,1,357586471.0625,1.0224999999999922,xs32
512,1,1017878405.1875,2.9000000000000172,mt32
512,1,96660677.1875,0.27500000000000263,sc32
512,1,381297111.0625,1.0899999999999925,lm32
512,2,357581362.21875,1.0225000000000142,xs32
512,2,1017863606.21875,2.900000000000054,mt32
512,2,89766843.90625,0.2558750000000017,sc32
512,2,326520740.25,0.9337500000000089,lm32
512,4,357585088.78125,1.0225000000000253,xs32
512,4,1017874320.078125,2.8999999999999315,mt32
512,4,86340738.640625,0.24631249999998772,sc32
512,4,299216156.078125,0.855624999999972,lm32
512,8,357584229.25,1.0225000000000308,xs32
512,8,1017872205.546875,2.899999999999784,mt32
512,8,84619528.7265625,0.24153125000000417,sc32
512,8,285528695.34375,0.8165625000000346,lm32
512,16,520125987.6796875,1.4850000000000938,xs32
512,16,406809355.14453125,1.1625000000001797,mt32
512,16,609907984.9648438,1.74343749999983,sc32
512,16,206675586.96484375,0.5909375000001137,lm32
1024,1,357581942.59375,1.0225000000000142,xs32
1024,1,1017865419.71875,2.900000000000054,mt32
1024,1,96646802.8125,0.27546875000000115,sc32
1024,1,381238427.46875,1.0889062499999929,lm32
1024,2,357583547.921875,1.0225000000000253,xs32
1024,2,1017869636.546875,2.8999999999999315,mt32
1024,2,89773102.796875,0.2561249999999939,sc32
1024,2,326545522.5625,0.9326562500000216,lm32
1024,4,357579996.515625,1.0225000000000308,xs32
1024,4,1017860032.8515625,2.899999999999784,mt32
1024,4,86324456.3125,0.24645312499999827,sc32
1024,4,299151196.1796875,0.8544531250000175,lm32
1024,8,357580688.8984375,1.0225000000000135,xs32
1024,8,1017861932.3007812,2.900000000000275,mt32
1024,8,84608589.35546875,0.24161718749999714,sc32
1024,8,285485234.8203125,0.8154687500000151,lm32
1024,16,520117384.6699219,1.4854687500000923,xs32
1024,16,406784473.5996094,1.162812500000265,mt32
1024,16,609880407.9199219,1.741562499999941,sc32
1024,16,206558318.85546875,0.5898437499998397,lm32
2048,1,357541883.09375,1.0225000000000253,xs32
2048,1,1017751449.734375,2.8999999999999315,mt32
2048,1,96518307.0,0.2749999999999894,sc32
2048,1,380714287.96875,1.0875000000000417,lm32
2048,2,357540675.421875,1.0225000000000308,xs32
2048,2,1017747949.5,2.899999999999784,mt32
2048,2,89637430.15625,0.25574999999998554,sc32
2048,2,325994895.7890625,0.9312500000000622,lm32
2048,4,357540514.30859375,1.0225000000000135,xs32
2048,4,1017747666.3515625,2.900000000000275,mt32
2048,4,86200773.6171875,0.24612963867186993,sc32
2048,4,298650218.44140625,0.8531323242186385,lm32
2048,8,357541459.04296875,1.0224999999995703,xs32
2048,8,1017749576.8632812,2.900000000000865,mt32
2048,8,84484543.1484375,0.24131420898436567,sc32
2048,8,284981834.5703125,0.8140624999997677,lm32
2048,16,520058521.2910156,1.48500000000046,xs32
2048,16,406618354.8105469,1.162499999999281,mt32
2048,16,609695119.2617188,1.7411029052742277,sc32
2048,16,205819286.81835938,0.5884374999998043,lm32
